experiment_index,simSeconds,simInsts,avg_big_l1i_missrate,avg_big_l1d_missrate,avg_big_l2_missrate,avg_little_l1i_missrate,avg_little_l1d_missrate,avg_little_l2_missrate,avg_l3_missrate
68,0.002128,8556270,0.046419125,0.27504500000000004,0.3669475,0.022209200000000002,0.267438625,0.995538375,0.00780575
69,0.001814,7781392,0.06198028571428571,0.27567325,0.005632375,0.019646875,0.26526225000000003,0.280647625,0.10244575
70,0.001614,7794689,0.06080814285714286,0.27585062499999996,0.005621125000000001,0.017483,0.26551487500000004,0.281200625,0.0531265
71,0.001573,7826040,0.061303142857142855,0.27586425000000003,0.0055953750000000005,0.0222416,0.26555700000000004,0.281070875,0.036573
72,0.003026,8821222,0.04179485714285714,0.280790125,0.9990507499999999,0.017739166666666667,0.26739500000000005,0.9992048749999999,0.11706625
73,0.002345,8501964,0.043792571428571424,0.2811335,0.9990060000000001,0.016942166666666668,0.2676925,0.9992237500000001,0.03041675
74,0.002153,8497589,0.048579000000000004,0.28019825,0.999023,0.017291333333333336,0.267733125,0.9992322500000002,0.005355250000000001
75,0.002956,8859631,0.038739,0.274350125,0.34574912500000005,0.016594,0.26679287500000004,0.9964222500000001,0.16811175
76,0.002306,8536474,0.04608771428571428,0.274662375,0.363944375,0.01363425,0.26740149999999996,0.9968686250000001,0.03882424999999999
77,0.002122,8511352,0.04337457142857143,0.2746245,0.36237687500000004,0.0159445,0.267101625,0.996874125,0.00784825
78,0.001787,7760177,0.05045471428571429,0.275717375,0.0055655,0.0159445,0.26483175,0.280714125,0.0955315
79,0.001606,7771500,0.059894,0.27561975,0.005548124999999999,0.0225318,0.26458125,0.28086212499999996,0.050390250000000004
80,0.00157,7723017,0.058595499999999995,0.27570887499999996,0.005592000000000001,0.012081375,0.265094875,0.281540125,0.035859249999999995
81,0.019383,9411985,0.13791374999999997,0.7973349999999999,0.716746125,0.04675925,0.7522372500000001,0.562236875,0.9581365000000001
82,0.019334,9473453,0.130690375,0.7891862500000001,0.7116984999999999,0.046872750000000005,0.7537182499999999,0.561350375,0.9265950000000001
83,0.011909,9361450,0.11046975,0.83481775,0.7179201250000001,0.044953625,0.7440938749999999,0.6462165000000001,0.3136525
84,0.018173,9493712,0.12212175000000002,0.8035488749999999,0.65124775,0.04710824999999999,0.750895,0.514910875,0.9482045
85,0.01828,9494459,0.12203575,0.80081825,0.655180125,0.044063125,0.7518675,0.511611125,0.9495262500000001
86,0.010637,9425464,0.122509125,0.8324864999999999,0.6307488750000001,0.046236375,0.7460606249999999,0.5979725,0.33107625
87,0.018058,9483864,0.13488250000000002,0.842316875,0.48321250000000004,0.046849249999999995,0.7509996250000001,0.47363325000000006,0.9127925
88,0.016868,9474496,0.1382305,0.8510745,0.485438375,0.046350125,0.750861625,0.492043375,0.813623
89,0.007185,9292486,0.12218549999999999,0.837342375,0.5824628749999999,0.042178875,0.733631375,0.566399125,0.16412075
90,0.023286,9483431,0.117803375,0.7520745,0.765961375,0.03704383333333333,0.691072,0.6815282500000001,0.9708085
91,0.022921,9491881,0.10332025,0.7518664999999999,0.7702415000000001,0.039972,0.6923852500000001,0.6823047499999999,0.9328015
92,0.012588,9424905,0.10426037499999999,0.77649025,0.82277025,0.04661216666666667,0.691439375,0.74712475,0.29806625000000003
93,0.020682,9470201,0.11289112500000001,0.7297433749999999,0.6357618749999999,0.050545,0.69214825,0.5963202499999999,0.9630529999999999
94,0.021079,9506370,0.10433862499999999,0.7292069999999999,0.63254925,0.041927285714285716,0.6936986249999999,0.5946652499999999,0.956845
95,0.010579,9422895,0.10352762500000001,0.7555335000000001,0.6813049999999999,0.035691875,0.6926585000000001,0.6782128749999999,0.2734805
96,0.01944,9488955,0.11189624999999999,0.74798775,0.51821625,0.032611,0.6967111250000001,0.520068375,0.93007375
97,0.018437,9487528,0.10388012499999999,0.750508125,0.51885725,0.04204600000000001,0.6969747500000001,0.5409725000000001,0.8277975
98,0.005793,9264287,0.10908175,0.759509125,0.569267375,0.04278166666666666,0.698518625,0.590401375,0.10010575000000001
99,0.032727,9512149,0.0955465,0.7247757499999999,0.919413875,0.04493966666666666,0.52670725,0.9256995,0.976388
100,0.031751,9519493,0.09702362499999999,0.73528375,0.9327707499999999,0.052374199999999996,0.526920875,0.9197420000000001,0.93780775
101,0.013646,9423279,0.094576625,0.752016375,0.942138375,0.04969320000000001,0.54943025,0.9225540000000001,0.30592175
102,0.028348,9512668,0.100775,0.6708589999999999,0.7635092499999999,0.0472988,0.52487875,0.8293703749999999,0.9743485000000001
103,0.027576,9515078,0.10017862500000001,0.6695338750000001,0.771784,0.0431325,0.52470125,0.8297835,0.9444617499999999
104,0.015687,9417976,0.09236362499999999,0.696679875,0.7745807499999999,0.0507644,0.5421524999999999,0.8827874999999998,0.40010575000000004
105,0.025879,9519586,0.09713412499999999,0.662533125,0.60209,0.038416,0.528800375,0.7504152500000001,0.96003125
