experiment_index,simSeconds,simInsts,avg_big_l1i_missrate,avg_big_l1d_missrate,avg_big_l2_missrate,avg_little_l1i_missrate,avg_little_l1d_missrate,avg_little_l2_missrate,avg_l3_missrate,replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,big_core_width,big_core_rob_size,big_core_num_int_regs,big_core_num_fp_regs,small_core_width,small_core_rob_size,small_core_num_int_regs,small_core_num_fp_regs,big_core_num,small_core_num,matsize
62,0.001625,7744953,0.0706538571428571,0.3039886249999999,0.005574875,0.0275686,0.331617375,0.2436335,0.0372575,LRURP,ISB,1,4,4,10,40,50,50,2,30,40,40,2,2,64
63,0.003064,8860009,0.0551459999999999,0.280843,0.99691875,0.015978625,0.2676088749999999,0.9977265,0.11533925,LRURP,ISB,2,1,1,10,40,50,50,2,30,40,40,2,2,64
64,0.002346,8570719,0.0527147142857142,0.280841375,0.996536125,0.024687,0.2679885,0.997724125,0.0308475,LRURP,ISB,2,1,2,10,40,50,50,2,30,40,40,2,2,64
65,0.002152,8507424,0.0521881428571428,0.2798542499999999,0.99691175,0.01437625,0.267970375,0.99771825,0.0054719999999999,LRURP,ISB,2,1,4,10,40,50,50,2,30,40,40,2,2,64
66,0.002864,8876034,0.0557051428571428,0.274775875,0.35376175,0.0252808333333333,0.26754975,0.995492875,0.1369864999999999,LRURP,ISB,2,2,1,10,40,50,50,2,30,40,40,2,2,64
67,0.002304,8554576,0.0581888571428571,0.2751527499999999,0.365672,0.016088375,0.26775275,0.99550325,0.039229,LRURP,ISB,2,2,2,10,40,50,50,2,30,40,40,2,2,64
68,0.002128,8556270,0.046419125,0.275045,0.3669475,0.0222092,0.267438625,0.995538375,0.00780575,LRURP,ISB,2,2,4,10,40,50,50,2,30,40,40,2,2,64
69,0.001814,7781392,0.0619802857142857,0.27567325,0.005632375,0.019646875,0.26526225,0.280647625,0.10244575,LRURP,ISB,2,4,1,10,40,50,50,2,30,40,40,2,2,64
70,0.001614,7794689,0.0608081428571428,0.2758506249999999,0.005621125,0.017483,0.265514875,0.281200625,0.0531265,LRURP,ISB,2,4,2,10,40,50,50,2,30,40,40,2,2,64
71,0.001573,7826040,0.0613031428571428,0.27586425,0.005595375,0.0222416,0.265557,0.281070875,0.036573,LRURP,ISB,2,4,4,10,40,50,50,2,30,40,40,2,2,64
72,0.003026,8821222,0.0417948571428571,0.280790125,0.99905075,0.0177391666666666,0.267395,0.999204875,0.11706625,LRURP,ISB,4,1,1,10,40,50,50,2,30,40,40,2,2,64
73,0.002345,8501964,0.0437925714285714,0.2811335,0.999006,0.0169421666666666,0.2676925,0.99922375,0.03041675,LRURP,ISB,4,1,2,10,40,50,50,2,30,40,40,2,2,64
