replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,big_core_width,big_core_rob_size,big_core_num_int_regs,big_core_num_fp_regs,small_core_width,small_core_rob_size,small_core_num_int_regs,small_core_num_fp_regs,matsize,experiment_index
LFURP,Signature,3,3,1,10,40,50,50,2,30,40,40,96,159
LFURP,Signature,3,3,2,10,40,50,50,2,30,40,40,96,160
LFURP,Signature,3,3,3,10,40,50,50,2,30,40,40,96,161
SecondChanceRP,Tagged,1,1,1,10,40,50,50,2,30,40,40,96,162
SecondChanceRP,Tagged,1,1,2,10,40,50,50,2,30,40,40,96,163
SecondChanceRP,Tagged,1,1,3,10,40,50,50,2,30,40,40,96,164
SecondChanceRP,Tagged,1,2,1,10,40,50,50,2,30,40,40,96,165
SecondChanceRP,Tagged,1,2,2,10,40,50,50,2,30,40,40,96,166
SecondChanceRP,Tagged,1,2,3,10,40,50,50,2,30,40,40,96,167
SecondChanceRP,Tagged,1,3,1,10,40,50,50,2,30,40,40,96,168
SecondChanceRP,Tagged,1,3,2,10,40,50,50,2,30,40,40,96,169
SecondChanceRP,Tagged,1,3,3,10,40,50,50,2,30,40,40,96,170
SecondChanceRP,Tagged,2,1,1,10,40,50,50,2,30,40,40,96,171
SecondChanceRP,Tagged,2,1,2,10,40,50,50,2,30,40,40,96,172
SecondChanceRP,Tagged,2,1,3,10,40,50,50,2,30,40,40,96,173
SecondChanceRP,Tagged,2,2,1,10,40,50,50,2,30,40,40,96,174
SecondChanceRP,Tagged,2,2,2,10,40,50,50,2,30,40,40,96,175
SecondChanceRP,Tagged,2,2,3,10,40,50,50,2,30,40,40,96,176
SecondChanceRP,Tagged,2,3,1,10,40,50,50,2,30,40,40,96,177
SecondChanceRP,Tagged,2,3,2,10,40,50,50,2,30,40,40,96,178
SecondChanceRP,Tagged,2,3,3,10,40,50,50,2,30,40,40,96,179
SecondChanceRP,Tagged,3,1,1,10,40,50,50,2,30,40,40,96,180
SecondChanceRP,Tagged,3,1,2,10,40,50,50,2,30,40,40,96,181
SecondChanceRP,Tagged,3,1,3,10,40,50,50,2,30,40,40,96,182
SecondChanceRP,Tagged,3,2,1,10,40,50,50,2,30,40,40,96,183
SecondChanceRP,Tagged,3,2,2,10,40,50,50,2,30,40,40,96,184
SecondChanceRP,Tagged,3,2,3,10,40,50,50,2,30,40,40,96,185
SecondChanceRP,Tagged,3,3,1,10,40,50,50,2,30,40,40,96,186
SecondChanceRP,Tagged,3,3,2,10,40,50,50,2,30,40,40,96,187
SecondChanceRP,Tagged,3,3,3,10,40,50,50,2,30,40,40,96,188
SecondChanceRP,Stride,1,1,1,10,40,50,50,2,30,40,40,96,189
SecondChanceRP,Stride,1,1,2,10,40,50,50,2,30,40,40,96,190
SecondChanceRP,Stride,1,1,3,10,40,50,50,2,30,40,40,96,191
SecondChanceRP,Stride,1,2,1,10,40,50,50,2,30,40,40,96,192
SecondChanceRP,Stride,1,2,2,10,40,50,50,2,30,40,40,96,193
SecondChanceRP,Stride,1,2,3,10,40,50,50,2,30,40,40,96,194
SecondChanceRP,Stride,1,3,1,10,40,50,50,2,30,40,40,96,195
SecondChanceRP,Stride,1,3,2,10,40,50,50,2,30,40,40,96,196
SecondChanceRP,Stride,1,3,3,10,40,50,50,2,30,40,40,96,197
SecondChanceRP,Stride,2,1,1,10,40,50,50,2,30,40,40,96,198
SecondChanceRP,Stride,2,1,2,10,40,50,50,2,30,40,40,96,199
SecondChanceRP,Stride,2,1,3,10,40,50,50,2,30,40,40,96,200
SecondChanceRP,Stride,2,2,1,10,40,50,50,2,30,40,40,96,201
SecondChanceRP,Stride,2,2,2,10,40,50,50,2,30,40,40,96,202
SecondChanceRP,Stride,2,2,3,10,40,50,50,2,30,40,40,96,203
SecondChanceRP,Stride,2,3,1,10,40,50,50,2,30,40,40,96,204
SecondChanceRP,Stride,2,3,2,10,40,50,50,2,30,40,40,96,205
SecondChanceRP,Stride,2,3,3,10,40,50,50,2,30,40,40,96,206
SecondChanceRP,Stride,3,1,1,10,40,50,50,2,30,40,40,96,207
SecondChanceRP,Stride,3,1,2,10,40,50,50,2,30,40,40,96,208
SecondChanceRP,Stride,3,1,3,10,40,50,50,2,30,40,40,96,209
SecondChanceRP,Stride,3,2,1,10,40,50,50,2,30,40,40,96,210
SecondChanceRP,Stride,3,2,2,10,40,50,50,2,30,40,40,96,211
SecondChanceRP,Stride,3,2,3,10,40,50,50,2,30,40,40,96,212
SecondChanceRP,Stride,3,3,1,10,40,50,50,2,30,40,40,96,213
SecondChanceRP,Stride,3,3,2,10,40,50,50,2,30,40,40,96,214
SecondChanceRP,Stride,3,3,3,10,40,50,50,2,30,40,40,96,215
SecondChanceRP,Signature,1,1,1,10,40,50,50,2,30,40,40,96,216
SecondChanceRP,Signature,1,1,2,10,40,50,50,2,30,40,40,96,217
SecondChanceRP,Signature,1,1,3,10,40,50,50,2,30,40,40,96,218
SecondChanceRP,Signature,1,2,1,10,40,50,50,2,30,40,40,96,219
SecondChanceRP,Signature,1,2,2,10,40,50,50,2,30,40,40,96,220
SecondChanceRP,Signature,1,2,3,10,40,50,50,2,30,40,40,96,221
SecondChanceRP,Signature,1,3,1,10,40,50,50,2,30,40,40,96,222
SecondChanceRP,Signature,1,3,2,10,40,50,50,2,30,40,40,96,223
SecondChanceRP,Signature,1,3,3,10,40,50,50,2,30,40,40,96,224
SecondChanceRP,Signature,2,1,1,10,40,50,50,2,30,40,40,96,225
SecondChanceRP,Signature,2,1,2,10,40,50,50,2,30,40,40,96,226
SecondChanceRP,Signature,2,1,3,10,40,50,50,2,30,40,40,96,227
SecondChanceRP,Signature,2,2,1,10,40,50,50,2,30,40,40,96,228
SecondChanceRP,Signature,2,2,2,10,40,50,50,2,30,40,40,96,229
SecondChanceRP,Signature,2,2,3,10,40,50,50,2,30,40,40,96,230
SecondChanceRP,Signature,2,3,1,10,40,50,50,2,30,40,40,96,231
SecondChanceRP,Signature,2,3,2,10,40,50,50,2,30,40,40,96,232
SecondChanceRP,Signature,2,3,3,10,40,50,50,2,30,40,40,96,233
SecondChanceRP,Signature,3,1,1,10,40,50,50,2,30,40,40,96,234
SecondChanceRP,Signature,3,1,2,10,40,50,50,2,30,40,40,96,235
SecondChanceRP,Signature,3,1,3,10,40,50,50,2,30,40,40,96,236
SecondChanceRP,Signature,3,2,1,10,40,50,50,2,30,40,40,96,237
SecondChanceRP,Signature,3,2,2,10,40,50,50,2,30,40,40,96,238
SecondChanceRP,Signature,3,2,3,10,40,50,50,2,30,40,40,96,239
SecondChanceRP,Signature,3,3,1,10,40,50,50,2,30,40,40,96,240
SecondChanceRP,Signature,3,3,2,10,40,50,50,2,30,40,40,96,241
SecondChanceRP,Signature,3,3,3,10,40,50,50,2,30,40,40,96,242
